storm,pr_max,pr_max_tc,t2m_max_pr,pr_int,pr_int_tc,pr_sum,sc_max,sm_prev,sm_max,t2m_min_pr,t2m_mean_pr,MltnInd,Dd_km-1,SlopeMn,Tc_Clfr,Area_m2,RvrsSlD,MnRvrSD
0,4.11627708921508,1.1940213643084259,14.9659835214134,0.763751587229673,0.2215438106841816,68.73764285067057,100.0,0.124449963344444,0.435077834555556,5.4349514037067,15.826242936012068,0.21,0.002446936886802,21.17,2.019418047526634,96671524.76051225,12.7,8.892297065638909
1,0.294505473734637,0.08542812350175988,19.8857791379888,0.037937807692557154,0.01100473848532282,2.276268461553429,0.0,0.125793623344444,0.243501923222222,9.35714778910615,17.01135875246276,0.21,0.002446936886802,21.17,2.019418047526634,96671524.76051225,12.7,8.892297065638909
2,2.03671766324022,0.5907970601262134,4.24208157162011,0.5114802323476801,0.14836667007784543,55.239865093549454,37.7777777777778,0.125808435344444,0.423109471,2.07975535642458,7.165510701927241,0.21,0.002446936886802,21.17,2.019418047526634,96671524.76051225,12.7,8.892297065638909
3,0.340471961236313,0.098761766240005,19.7936690472067,0.03908649630703763,0.01133794218296045,1.5243733559744677,0.0,0.123472812395556,0.162852271503333,10.6831638510615,21.052984584259416,0.21,0.002446936886802,21.17,2.019418047526634,96671524.76051225,12.7,8.892297065638909
0,3.163728476,0.1845119034588329,22.262218475,0.5957303463115731,0.034743607417635436,48.849888397548995,0.0,0.119310641,0.43570285,13.713933945,23.576242533687804,0.97,0.003096268694766,24.11,0.081632221053138,418786.8217626853,15.0,18.302869673147352
1,0.208198115,0.012142328517319634,29.0750885,0.03586748395975,0.002091828609154204,0.860819615034,0.0,0.120500891,0.243271191,17.7722034,24.700194587500004,0.97,0.003096268694766,24.11,0.081632221053138,418786.8217626853,15.0,18.302869673147352
2,2.54812884,0.1486094986005834,15.21226597,0.5451477106574074,0.0317935760046,58.875952751,100.0,0.120604046,0.42426851,8.564573,14.402454602655556,0.97,0.003096268694766,24.11,0.081632221053138,418786.8217626853,15.0,18.302869673147352
3,0.5628121495,0.032823784272820206,31.10743713,0.11314727012307692,0.006598865338777466,1.4709145116,0.0,0.1184854012,0.1643814339,24.56249428,29.897199636153843,0.97,0.003096268694766,24.11,0.081632221053138,418786.8217626853,15.0,18.302869673147352
0,3.163728476,0.2557756750831403,22.262218475,0.5957303463115731,0.04816258179273522,48.849888397548995,0.0,0.119310641,0.43570285,13.713933945,23.576242533687804,0.71,0.002259579007546,23.28,0.156866899914996,664737.0982422824,14.4,14.237032576084149
1,0.208198115,0.016832042894683062,29.0750885,0.03586748395975,0.002899752615603022,0.860819615034,0.0,0.120500891,0.243271191,17.7722034,24.700194587500004,0.71,0.002259579007546,23.28,0.156866899914996,664737.0982422824,14.4,14.237032576084149
2,2.54812884,0.20600673515252044,15.21226597,0.5451477106574074,0.04407316391756838,58.875952751,0.0,0.120604046,0.42426851,8.564573,14.402454602655556,0.71,0.002259579007546,23.28,0.156866899914996,664737.0982422824,14.4,14.237032576084149
3,0.5628121495,0.04550126806879484,31.10743713,0.11314727012307692,0.00914753576961022,1.4709145116,0.0,0.1184854012,0.1643814339,24.56249428,29.897199636153843,0.71,0.002259579007546,23.28,0.156866899914996,664737.0982422824,14.4,14.237032576084149
0,3.2182577137,0.3902520974866397,21.8274833676,0.6169832595616354,0.07481657237488626,50.592627284054096,0.0,0.119310641,0.43570285,13.0465064528,23.013108012942805,0.61,0.002874340572875,24.12,0.352906856230769,2760112.0574082998,17.1,15.713965076217297
1,0.2168287588,0.026293070799429646,28.42556286,0.02716790141885,0.0032944317876976575,0.9780444510786,0.0,0.120500891,0.243271191,17.171841,25.599819075,0.61,0.002874340572875,24.12,0.352906856230769,2760112.0574082998,17.1,15.713965076217297
2,2.499033734,0.30303761946464197,14.709665395,0.5456024377489815,0.06616079713534466,58.92506327689,0.0,0.120604046,0.42426851,8.0081157,13.910059488405832,0.61,0.002874340572875,24.12,0.352906856230769,2760112.0574082998,17.1,15.713965076217297
3,0.54018393455,0.06550373905399869,30.438772198,0.11052055621615384,0.013401934436492643,1.43676723081,0.0,0.1184854012,0.1643814339,23.823460962,29.249159554,0.61,0.002874340572875,24.12,0.352906856230769,2760112.0574082998,17.1,15.713965076217297
0,3.87480913545455,0.5420562100723287,17.9147300690909,0.7696178183575365,0.10766365599942812,63.10866110531799,12.5,0.119310641,0.43570285,8.25316355427273,18.968778273046894,0.6,0.002341576438223,24.77,0.469676964244491,5540427.130612271,19.6,16.319850493335597
1,0.278812473363636,0.039003736016188444,23.7607878090909,0.050553664165121165,0.007072071589766258,1.819931909944362,0.0,0.120500891,0.243271191,13.0448163636364,21.332129532323226,0.6,0.002341576438223,24.77,0.469676964244491,5540427.130612271,19.6,16.319850493335597
2,2.14644160909091,0.30027079091958464,11.1000794472727,0.5488682050430134,0.07678247073708218,59.27776614464545,50.0,0.120604046,0.42426851,4.01174054545455,10.373767304248739,0.6,0.002341576438223,24.77,0.469676964244491,5540427.130612271,19.6,16.319850493335597
3,0.456077776154545,0.06380179828174877,24.3585206818182,0.09165597452097897,0.01282197095199621,1.1915276687727265,0.0,0.1184854012,0.1643814339,18.5158580418182,24.595053509440564,0.6,0.002341576438223,24.77,0.469676964244491,5540427.130612271,19.6,16.319850493335597
0,4.07624197,0.4198377274052152,16.44830322,0.8082594788121953,0.08324771327013145,66.27727726260001,0.0,0.119310641,0.43570285,7.039659023,17.944897326237808,0.77,0.002408851711445,27.34,0.254597569981198,2857636.658090077,22.5,23.991173932013574
1,0.294504553,0.03033287109842715,22.5798321,0.05647411043000001,0.005816622848854668,2.0330679754800003,0.0,0.120500891,0.243271191,12.0,20.251701799999996,0.77,0.002408851711445,27.34,0.254597569981198,2857636.658090077,22.5,23.991173932013574
2,2.0576663,0.21193195828615097,5.80542612,0.5496949815731481,0.05661653393694932,59.3670580099,0.0,0.120604046,0.42426851,3.0,9.478503460158334,0.77,0.002408851711445,27.34,0.254597569981198,2857636.658090077,22.5,23.991173932013574
3,0.4427140355,0.04559789529734707,23.0488453,0.08688013105384615,0.00894832962487603,1.1294417037,0.0,0.1184854012,0.1643814339,17.1721611,23.416798814615387,0.77,0.002408851711445,27.34,0.254597569981198,2857636.658090077,22.5,23.991173932013574
0,4.05514609157895,0.5203954614817118,16.5418213268421,0.805861677422593,0.10341594360401157,66.08065754865262,75.0,0.119310641,0.43570285,7.09252176757895,18.03986830497272,0.66,0.002829906451881,26.47,0.395243951608638,4578773.025556286,22.0,20.051322417670598
1,0.291421262789474,0.0373979874238913,22.7134224947368,0.05508009599137429,0.007068409207602073,1.9828834556894745,0.0,0.120500891,0.243271191,12.1052631578947,20.398105557309936,0.66,0.002829906451881,26.47,0.395243951608638,4578773.025556286,22.0,20.051322417670598
2,2.04713276,0.2627078219368733,10.2821841963158,0.549396850224269,0.070503903176947,59.33485982422105,0.0,0.120604046,0.42426851,3.10526315789474,9.5635407147251,0.66,0.002829906451881,26.47,0.395243951608638,4578773.025556286,22.0,20.051322417670598
3,0.440729864321053,0.05655870736899228,23.1947033631579,0.08648268995708504,0.011098292967510184,1.1242749694421055,0.0,0.1184854012,0.1643814339,17.3392065931579,23.57168187874494,0.66,0.002829906451881,26.47,0.395243951608638,4578773.025556286,22.0,20.051322417670598
0,3.94263474,0.33968430069902733,17.0405845633333,0.7930734033447153,0.06832856761621982,65.03201907426666,50.0,0.119310641,0.43570285,7.37445640533333,18.546380191558942,1.19,0.003382763076236,26.81,0.17815134432771,853822.8114658379,24.3,24.13958795878064
1,0.276614154666667,0.02383215587741698,26.6355075666667,0.0476453523187037,0.0041049651441811335,1.7152326834733331,0.0,0.120500891,0.243271191,12.6666666666667,21.1789255962963,1.19,0.003382763076236,26.81,0.17815134432771,853822.8114658379,24.3,24.13958795878064
2,1.99355932,0.17175844281132377,10.7937787366667,0.5478068163635802,0.04719721394597746,59.163136167266664,0.0,0.120604046,0.42426851,3.66666666666667,10.017072739081177,1.19,0.003382763076236,26.81,0.17815134432771,853822.8114658379,24.3,24.13958795878064
3,0.430147618033333,0.03706008861196334,23.9726130333333,0.08436300410769229,0.007268435943216648,1.0967190533999998,0.0,0.1184854012,0.1643814339,18.23011589,24.39772488743589,1.19,0.003382763076236,26.81,0.17815134432771,853822.8114658379,24.3,24.13958795878064
0,3.92651132047867,0.2459038398776079,17.1120597415345,0.7912407819690249,0.04955267683532999,64.88174412146004,0.0,0.116026315927053,0.433776124783187,7.41485899918999,18.618965788704127,1.18,0.004736203898573,28.84,0.094130020837511,226144.44611774606,25.9,26.190810486232763
0,4.2257640268,0.6049035747996138,16.4824002064,0.8213557205517074,0.11757424418231842,67.35116908524,18.1818181818182,0.1214160605,0.434110558333333,6.72874376276,17.96190230467829,0.57,0.002376475286018,25.44,0.49178248870822,7099650.149749627,17.9,18.2505990948949
1,0.32377685568,0.04634754240797557,25.174565048,0.03902880252050667,0.005586838738527608,2.3417281512304,0.0,0.123192178,0.246636953166667,11.76,19.883959841986666,0.57,0.002376475286018,25.44,0.49178248870822,7099650.149749627,17.9,18.2505990948949
2,1.7518643832,0.2507733563069482,5.4953506272,0.5052382709421112,0.07232311938863582,54.56573326174801,5.40540540540541,0.122927678,0.424375633333333,3.16,9.199623205227223,0.57,0.002376475286018,25.44,0.49178248870822,7099650.149749627,17.9,18.2505990948949
3,0.361308933468,0.05172013015296868,22.736635356,0.06978322799907694,0.009989228884998501,0.9071819639880001,0.0,0.120528663366667,0.1707572054,17.3962530496,23.403627988400004,0.57,0.002376475286018,25.44,0.49178248870822,7099650.149749627,17.9,18.2505990948949
0,4.20395072666667,0.568658961167644,16.0747083,0.8624225476764226,0.11665795865264265,70.71864890946665,15.7894736842105,0.12678541,0.43464749,5.05832203233333,17.40737973582073,0.74,0.003084269279044,27.19,0.439136748686276,5126786.622314403,19.8,15.129903312266517
1,0.276144648333333,0.0373534656001425,24.4835821666667,0.02057506386189689,0.0027831426204515367,1.1933537039900195,0.0,0.130935414,0.258680959,11.0725431333333,20.89021797011495,0.74,0.003084269279044,27.19,0.439136748686276,5126786.622314403,19.8,15.129903312266517
2,1.68447558333333,0.22785522419529147,11.1371556933333,0.49771594717098755,0.06732491693575103,53.753322294466656,0.0,0.128650135,0.42303859,2.66666666666667,8.880035658264504,0.74,0.003084269279044,27.19,0.439136748686276,5126786.622314403,19.8,15.129903312266517
3,0.189648762333333,0.025653361608430097,21.4871076333333,0.017651851686555527,0.0023877262830625683,0.5295555505966658,0.0,0.12569038,0.2039453376,11.8881101633333,21.63864070644444,0.74,0.003084269279044,27.19,0.439136748686276,5126786.622314403,19.8,15.129903312266517
