id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,date,country,position,streams,artist_genres,duration
70eFcWOvlMObDhURTqT4Fv,Beautiful People (feat. Khalid),No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,"['Ed Sheeran', 'Khalid']","['6eUKZXaKkcviH0Ku9w2n3V', '6LuN9FCkKOj5PcnpouEgny']",1.0,1.0,False,0.64,0.647,5.0,-8.113999999999999,0.0,0.186,0.124,0.0,0.0801,0.546,92.979,197867.0,4.0,2019.0,2019-07-12,,,,,,
0hVXuCcriWRGvwMV1r5Yn9,I Don't Care (with Justin Bieber),No.6 Collaborations Project,3oIFxDIo2fwuk4lwCmFZCx,"['Ed Sheeran', 'Justin Bieber']","['6eUKZXaKkcviH0Ku9w2n3V', '1uNFoZAHBGtllmzznpCI3s']",6.0,1.0,False,0.7979999999999999,0.6759999999999999,6.0,-5.041,1.0,0.0442,0.0902,0.0,0.0894,0.843,101.956,219947.0,4.0,2019.0,2019-07-12,,,,,,
20McUFi8KCIVdNDLrkTDuZ,Goosebumps,Goosebumps,49HjM8mnjS9PgYjSC03tkS,['HVME'],['2o08sCWF5yyo2G4DCiT7T9'],1.0,1.0,True,0.767,0.659,1.0,-7.4289999999999985,1.0,0.0444,0.325,0.0,0.13,0.439,124.946,163208.0,4.0,2020.0,2020-06-12,,,,,,
7FwBtcecmlpc1sLySPXeGE,Dancing In the Dark,Born In The U.S.A.,0PMasrHdpaoIRuHuhHp72O,['Bruce Springsteen'],['3eqjTLE0HfPfh78zjh6TqT'],11.0,1.0,False,0.527,0.942,1.0,-5.64,0.0,0.0366,0.0115,0.0,0.188,0.495,148.72299999999996,241307.0,4.0,1984.0,1984-06-04,,,,,,
249gnXrbfmV8NG6jTEMSwD,Life Goes On,BE,2qehskW9lYGWfYb0xPZkrS,['BTS'],['3Nrfpe0tUJi4K4DXYWgMUX'],1.0,1.0,False,0.5660000000000001,0.716,1.0,-5.733,1.0,0.0424,0.0069099999999999,0.0,0.37,0.45,81.068,207481.0,4.0,2020.0,2020-11-20,,,,,,
3QH8rQGNFX8VLbCgZ7uPTS,Fly To My Room,BE,2qehskW9lYGWfYb0xPZkrS,['BTS'],['3Nrfpe0tUJi4K4DXYWgMUX'],2.0,1.0,False,0.764,0.526,11.0,-7.355,1.0,0.212,0.0484,0.0,0.0718,0.588,114.91,222243.0,4.0,2020.0,2020-11-20,,,,,,
0n2moJpAEWHwaPYYjkzMDl,Blue & Grey,BE,2qehskW9lYGWfYb0xPZkrS,['BTS'],['3Nrfpe0tUJi4K4DXYWgMUX'],3.0,1.0,False,0.547,0.605,8.0,-6.755,1.0,0.0415,0.42,0.0,0.125,0.364,121.953,254950.0,4.0,2020.0,2020-11-20,,,,,,
2FVpOsjT1iquZ3SpCjZ9Ne,Telepathy,BE,2qehskW9lYGWfYb0xPZkrS,['BTS'],['3Nrfpe0tUJi4K4DXYWgMUX'],5.0,1.0,False,0.787,0.669,5.0,-4.333,0.0,0.0428,0.00782,0.0,0.123,0.57,104.994,202313.0,4.0,2020.0,2020-11-20,,,,,,
54DmTIv86D3sYdiawjULQ0,Dis-ease,BE,2qehskW9lYGWfYb0xPZkrS,['BTS'],['3Nrfpe0tUJi4K4DXYWgMUX'],6.0,1.0,False,0.731,0.845,8.0,-5.352,1.0,0.132,0.0132,0.0,0.0782,0.484,101.085,239722.0,4.0,2020.0,2020-11-20,,,,,,
3ndCsZfq8OVwwkz9mmZvUz,Stay,BE,2qehskW9lYGWfYb0xPZkrS,['BTS'],['3Nrfpe0tUJi4K4DXYWgMUX'],7.0,1.0,False,0.5820000000000001,0.693,6.0,-5.048,1.0,0.0465,0.114,0.0,0.13,0.341,125.904,204800.0,4.0,2020.0,2020-11-20,,,,,,
4saklk6nie3yiGePpBwUoc,Dynamite,BE,2qehskW9lYGWfYb0xPZkrS,['BTS'],['3Nrfpe0tUJi4K4DXYWgMUX'],8.0,1.0,False,0.746,0.765,6.0,-4.41,0.0,0.0993,0.0112,0.0,0.0936,0.737,114.044,199054.0,4.0,2020.0,2020-11-20,,,,,,
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),"Oral Fixation, Vol. 2 (Expanded Edition)",5ppnlEoj4HdRRdRihnY3jU,"['Shakira', 'Wyclef Jean']","['0EmeFodog0BfCgMzAIvKQp', '7aBzpmFXB4WWpPl2F7RjBe']",3.0,1.0,False,0.778,0.8240000000000001,10.0,-5.892,0.0,0.0712,0.284,0.0,0.405,0.7559999999999999,100.024,218093.0,4.0,2005.0,2005-11-28,,,,,,
1daDRI9ahBonbWD8YcxOIB,Angels Like You,Plastic Hearts,5BRhg6NSEZOj0BR6Iz56fR,['Miley Cyrus'],['5YGY8feqx7naU7z4HrwZM6'],3.0,1.0,False,0.672,0.642,5.0,-4.035,1.0,0.0313,0.0981,0.0,0.1,0.494,121.981,196453.0,4.0,2020.0,2020-11-27,,,,,,
2Oycxb8QbPkpHTo8ZrmG0B,Prisoner (feat. Dua Lipa),Plastic Hearts,5BRhg6NSEZOj0BR6Iz56fR,"['Miley Cyrus', 'Dua Lipa']","['5YGY8feqx7naU7z4HrwZM6', '6M2wZ9GZgrQXHCFfjv46we']",4.0,1.0,False,0.7809999999999999,0.67,3.0,-3.912,0.0,0.0452,0.0103,0.0,0.0761,0.595,127.99,169333.0,4.0,2020.0,2020-11-27,,,,,,
2kS6td1yvmpNgZTt1q5pQq,Hayloft,O My Heart,0X7S0TEZ5NJsSxmyTnfYi2,['Mother Mother'],['0e86yPdC41PGRkLp2Q1Bph'],8.0,1.0,False,0.527,0.922,9.0,-2.6660000000000004,0.0,0.0728,0.00475,0.000162,0.422,0.49,95.975,181680.0,4.0,2008.0,2008-09-23,,,,,,
5HjIGzesTt8dwTgy8z7KRf,Stupid Man,Stupid Man,0LDqsjhsuPKlEbKkxSktrY,['Thomas Helmig'],['2ytaRjGwyS3veZwsmr0SPj'],2.0,1.0,False,0.6779999999999999,0.875,5.0,-4.92,1.0,0.0273,0.0453,1.73e-05,0.38,0.758,124.66,206600.0,4.0,1994.0,1994-08-25,,,,,,
6G4U9avyBNEfP0fAIduev3,Ella Y Yo - Featuring Don Omar,God's Project,3dCEXNx36W29EYCMUAx5p5,"['Aventura', 'Don Omar']","['1qto4hHid1P71emI6Fd8xi', '33ScadVnbm2X8kkUqOkC6Z']",9.0,1.0,False,0.732,0.708,9.0,-7.905,0.0,0.262,0.534,0.0,0.237,0.7170000000000001,175.924,267787.0,4.0,2005.0,2005-04-26,,,,,,
4eWQlBRaTjPPUlzacqEeoQ,Never Be the Same,Camila,2vD3zSQr8hNlg0obNel4TE,['Camila Cabello'],['4nDoRrQiYLoBzwC5BhVJzF'],1.0,1.0,False,0.637,0.713,0.0,-4.333,1.0,0.0747,0.181,0.000637,0.1369999999999999,0.243,129.923,226973.0,4.0,2018.0,2018-01-12,,,,,,
4ubwzNjqHGaZZ5k06PDx1H,Sin Sentimientos,The Best,1b2HgTcfv1ocO7J83D1eIm,['Grupo Niche'],['1zng9JZpblpk48IPceRWs8'],11.0,1.0,False,0.607,0.622,2.0,-9.433,0.0,0.0354,0.414,0.0,0.176,0.66,82.777,293893.0,4.0,1988.0,1988,,,,,,
3Dv1eDb0MEgF93GpLXlucZ,Say So,Hot Pink,1MmVkhiwTH0BkNOU3nw5d3,['Doja Cat'],['5cj0lLjcoR7YOSnhnX0Po5'],5.0,1.0,True,0.787,0.6729999999999999,11.0,-4.577,0.0,0.158,0.256,3.57e-06,0.0904,0.7859999999999999,110.962,237893.0,4.0,2019.0,2019-11-07,,,,,,
60ynsPSSKe6O3sfwRnIBRf,Streets,Hot Pink,1MmVkhiwTH0BkNOU3nw5d3,['Doja Cat'],['5cj0lLjcoR7YOSnhnX0Po5'],9.0,1.0,True,0.7490000000000001,0.4629999999999999,11.0,-8.433,1.0,0.0828,0.208,0.0371,0.337,0.19,90.02799999999998,226987.0,4.0,2019.0,2019-11-07,,,,,,
1gihuPhrLraKYrJMAEONyc,Feel So Close - Radio Edit,18 Months,7w19PFbxAjwZ7UVNp9z0uT,['Calvin Harris'],['7CajNmpbOovFoOoasH2HaY'],3.0,1.0,False,0.7070000000000001,0.924,7.0,-2.842,1.0,0.031,0.000972,0.00703,0.204,0.919,127.937,206413.0,4.0,2012.0,2012-10-29,,,,,,
14AJI1RloVWTh8bJe9gBPM,Händerna mot himlen,Inferno,0Pkg2U6eM9f15PN9ZXefNq,['Petra Marklund'],['2ZX1rncu0C7WOuSFC1aEbh'],10.0,1.0,False,0.653,0.6759999999999999,5.0,-6.318,1.0,0.031,0.0273,0.0215,0.128,0.613,125.027,237813.0,4.0,2012.0,2012-10-17,,,,,,
